"plant_no","leafP","leafP_val","plant_name.x.x","genus.x.x","family.x.x","leafN","leafN_val","plant_name.y.x","genus.y.x","family.y.x","plant_name","no_bugs","cl","clonality_state","plant_name.x.y","genus.x.y","family.x.y","dicliny","dicliny_val","plant_name.y.y","genus.y.y","family.y.y"
800090000,"Mature leaf P concentration (mg/g)","1-2","RUBUS FRUTICOSUS","RUBUS","ROSACEAE","Mature leaf N concentration (mg/g)","20-30","RUBUS FRUTICOSUS","RUBUS","ROSACEAE","RUBUS FRUTICOSUS",28,NA,NA,NA,NA,NA,"Dicliny","hermaphrodite","RUBUS FRUTICOSUS","RUBUS","ROSACEAE"
800090010,"Mature leaf P concentration (mg/g)","2-3","RUBUS CHAMAEMORUS","RUBUS","ROSACEAE","Mature leaf N concentration (mg/g)","10-20","RUBUS CHAMAEMORUS","RUBUS","ROSACEAE","RUBUS CHAMAEMORUS",2,"Clonality: normal state","Rhizome far creeping","RUBUS CHAMAEMORUS","RUBUS","ROSACEAE","Dicliny","dioecious","RUBUS CHAMAEMORUS","RUBUS","ROSACEAE"
800090010,"Mature leaf P concentration (mg/g)","2-3","RUBUS CHAMAEMORUS","RUBUS","ROSACEAE","Mature leaf N concentration (mg/g)","10-20","RUBUS CHAMAEMORUS","RUBUS","ROSACEAE","RUBUS CHAMAEMORUS",2,"Clonality: normal state","Rhizome far creeping","RUBUS CHAMAEMORUS","RUBUS","ROSACEAE","Dicliny","hermaphrodite","RUBUS CHAMAEMORUS","RUBUS","ROSACEAE"
800090040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUBUS SAXATILIS",2,"Clonality: normal state","Far creeping stolons in illuminated medium","RUBUS SAXATILIS","RUBUS","ROSACEAE","Dicliny","hermaphrodite","RUBUS SAXATILIS","RUBUS","ROSACEAE"
800090060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Tip rooting (stems often turn downwards)","RUBUS SPECTABILIS","RUBUS","ROSACEAE","Dicliny","hermaphrodite","RUBUS SPECTABILIS","RUBUS","ROSACEAE"
800090070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUBUS IDAEUS",16,"Clonality: normal state","Clones formed by suckering from roots","RUBUS IDAEUS","RUBUS","ROSACEAE","Dicliny","androdioecious","RUBUS IDAEUS","RUBUS","ROSACEAE"
800090070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUBUS IDAEUS",16,"Clonality: normal state","Clones formed by suckering from roots","RUBUS IDAEUS","RUBUS","ROSACEAE","Dicliny","hermaphrodite","RUBUS IDAEUS","RUBUS","ROSACEAE"
800090750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUBUS CAESIUS",10,"Clonality: normal state","Tip rooting (stems often turn downwards)","RUBUS CAESIUS","RUBUS","ROSACEAE","Dicliny","hermaphrodite","RUBUS CAESIUS","RUBUS","ROSACEAE"
800100020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ROSA ARVENSIS","ROSA","ROSACEAE","Dicliny","hermaphrodite","ROSA ARVENSIS","ROSA","ROSACEAE"
800100050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROSA PIMPINELLIFOLIA",12,"Clonality: normal state","Clones formed by suckering from roots","ROSA PIMPINELLIFOLIA","ROSA","ROSACEAE","Dicliny","hermaphrodite","ROSA PIMPINELLIFOLIA","ROSA","ROSACEAE"
800100100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROSA RUGOSA",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
800100150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ROSA STYLOSA","ROSA","ROSACEAE","Dicliny","hermaphrodite","ROSA STYLOSA","ROSA","ROSACEAE"
800100180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROSA CANINA",41,NA,NA,NA,NA,NA,"Dicliny","hermaphrodite","ROSA CANINA","ROSA","ROSACEAE"
800100258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ROSA CAESIA","ROSA","ROSACEAE","Dicliny","hermaphrodite","ROSA CAESIA","ROSA","ROSACEAE"
800100280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ROSA OBTUSIFOLIA","ROSA","ROSACEAE","Dicliny","hermaphrodite","ROSA OBTUSIFOLIA","ROSA","ROSACEAE"
800100320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROSA TOMENTOSA",1,"Clonality: normal state","Little or no vegetative spread","ROSA TOMENTOSA","ROSA","ROSACEAE","Dicliny","hermaphrodite","ROSA TOMENTOSA","ROSA","ROSACEAE"
800100340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ROSA SHERARDII","ROSA","ROSACEAE","Dicliny","hermaphrodite","ROSA SHERARDII","ROSA","ROSACEAE"
800100360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Clones formed by suckering from roots","ROSA MOLLIS","ROSA","ROSACEAE","Dicliny","hermaphrodite","ROSA MOLLIS","ROSA","ROSACEAE"
800100390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROSA RUBIGINOSA",4,"Clonality: normal state","Little or no vegetative spread","ROSA RUBIGINOSA","ROSA","ROSACEAE","Dicliny","hermaphrodite","ROSA RUBIGINOSA","ROSA","ROSACEAE"
800100410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ROSA AGRESTIS","ROSA","ROSACEAE","Dicliny","hermaphrodite","ROSA AGRESTIS","ROSA","ROSACEAE"
800100420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ROSA MICRANTHA","ROSA","ROSACEAE","Dicliny","hermaphrodite","ROSA MICRANTHA","ROSA","ROSACEAE"
800110020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AGRIMONIA EUPATORIA",7,"Clonality: normal state","Little or no vegetative spread","AGRIMONIA EUPATORIA","AGRIMONIA","ROSACEAE","Dicliny","hermaphrodite","AGRIMONIA EUPATORIA","AGRIMONIA","ROSACEAE"
800110030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","AGRIMONIA PROCERA","AGRIMONIA","ROSACEAE","Dicliny","hermaphrodite","AGRIMONIA PROCERA","AGRIMONIA","ROSACEAE"
800120010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicliny","hermaphrodite","AREMONIA AGRIMONIOIDES","AREMONIA","ROSACEAE"
800130010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SANGUISORBA OFFICINALIS",2,"Clonality: normal state","Little or no vegetative spread","SANGUISORBA OFFICINALIS","SANGUISORBA","ROSACEAE","Dicliny","hermaphrodite","SANGUISORBA OFFICINALIS","SANGUISORBA","ROSACEAE"
800130060,"Mature leaf P concentration (mg/g)","<1","SANGUISORBA MINOR","SANGUISORBA","ROSACEAE","Mature leaf N concentration (mg/g)","10-20","SANGUISORBA MINOR","SANGUISORBA","ROSACEAE",NA,NA,"Clonality: normal state","Little or no vegetative spread","SANGUISORBA MINOR","SANGUISORBA","ROSACEAE","Dicliny","gynoandromonoecious","SANGUISORBA MINOR","SANGUISORBA","ROSACEAE"
800150010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicliny","hermaphrodite","ACAENA ANSERINIFOLIA","ACAENA","ROSACEAE"
800150019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACAENA NOVAE-ZELANDIAE",2,"Clonality: normal state","Extensively creeping and rooting at nodes","ACAENA NOVAE-ZELANDIAE","ACAENA","ROSACEAE","Dicliny","hermaphrodite","ACAENA NOVAE-ZELANDIAE","ACAENA","ROSACEAE"
800160010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRYAS OCTOPETALA",3,"Clonality: normal state","Extensively creeping and rooting at nodes","DRYAS OCTOPETALA","DRYAS","ROSACEAE","Dicliny","andromonoecious","DRYAS OCTOPETALA","DRYAS","ROSACEAE"
800160010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRYAS OCTOPETALA",3,"Clonality: normal state","Extensively creeping and rooting at nodes","DRYAS OCTOPETALA","DRYAS","ROSACEAE","Dicliny","androdioecious","DRYAS OCTOPETALA","DRYAS","ROSACEAE"
800160010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRYAS OCTOPETALA",3,"Clonality: normal state","Extensively creeping and rooting at nodes","DRYAS OCTOPETALA","DRYAS","ROSACEAE","Dicliny","hermaphrodite","DRYAS OCTOPETALA","DRYAS","ROSACEAE"
800170050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GEUM RIVALE",16,"Clonality: normal state","Little or no vegetative spread","GEUM RIVALE","GEUM","ROSACEAE","Dicliny","hermaphrodite","GEUM RIVALE","GEUM","ROSACEAE"
800170050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GEUM RIVALE",16,"Clonality: normal state","Little or no vegetative spread","GEUM RIVALE","GEUM","ROSACEAE","Dicliny","androdioecious","GEUM RIVALE","GEUM","ROSACEAE"
800170050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GEUM RIVALE",16,"Clonality: normal state","Little or no vegetative spread","GEUM RIVALE","GEUM","ROSACEAE","Dicliny","andromonoecious","GEUM RIVALE","GEUM","ROSACEAE"
800170090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GEUM URBANUM",26,"Clonality: normal state","Little or no vegetative spread","GEUM URBANUM","GEUM","ROSACEAE","Dicliny","andromonoecious","GEUM URBANUM","GEUM","ROSACEAE"
800170090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GEUM URBANUM",26,"Clonality: normal state","Little or no vegetative spread","GEUM URBANUM","GEUM","ROSACEAE","Dicliny","hermaphrodite","GEUM URBANUM","GEUM","ROSACEAE"
800190010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POTENTILLA FRUTICOSA",3,"Clonality: normal state","Little or no vegetative spread","POTENTILLA FRUTICOSA","POTENTILLA","ROSACEAE","Dicliny","dioecious","POTENTILLA FRUTICOSA","POTENTILLA","ROSACEAE"
800190030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POTENTILLA PALUSTRIS",3,"Clonality: normal state","Rhizome far creeping","POTENTILLA PALUSTRIS","POTENTILLA","ROSACEAE","Dicliny","hermaphrodite","POTENTILLA PALUSTRIS","POTENTILLA","ROSACEAE"
800190040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POTENTILLA ANSERINA",9,"Clonality: normal state","Far creeping stolons in illuminated medium","POTENTILLA ANSERINA","POTENTILLA","ROSACEAE","Dicliny","hermaphrodite","POTENTILLA ANSERINA","POTENTILLA","ROSACEAE"
800190040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POTENTILLA ANSERINA",9,"Clonality: normal state","Far creeping stolons in illuminated medium","POTENTILLA ANSERINA","POTENTILLA","ROSACEAE","Dicliny","gynodioecious","POTENTILLA ANSERINA","POTENTILLA","ROSACEAE"
800190050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POTENTILLA RUPESTRIS",1,"Clonality: normal state","Little or no vegetative spread","POTENTILLA RUPESTRIS","POTENTILLA","ROSACEAE","Dicliny","hermaphrodite","POTENTILLA RUPESTRIS","POTENTILLA","ROSACEAE"
800190180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","POTENTILLA ARGENTEA","POTENTILLA","ROSACEAE","Dicliny","hermaphrodite","POTENTILLA ARGENTEA","POTENTILLA","ROSACEAE"
800190240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicliny","hermaphrodite","POTENTILLA NORVEGICA","POTENTILLA","ROSACEAE"
800190280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicliny","hermaphrodite","POTENTILLA RECTA","POTENTILLA","ROSACEAE"
800190430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POTENTILLA CRANTZII",1,"Clonality: normal state","Little or no vegetative spread","POTENTILLA CRANTZII","POTENTILLA","ROSACEAE","Dicliny","hermaphrodite","POTENTILLA CRANTZII","POTENTILLA","ROSACEAE"
800190490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicliny","hermaphrodite","POTENTILLA NEUMANNIANA","POTENTILLA","ROSACEAE"
800190520,"Mature leaf P concentration (mg/g)","1-2","POTENTILLA ERECTA","POTENTILLA","ROSACEAE","Mature leaf N concentration (mg/g)","10-20","POTENTILLA ERECTA","POTENTILLA","ROSACEAE","POTENTILLA ERECTA",4,"Clonality: normal state","Little or no vegetative spread","POTENTILLA ERECTA","POTENTILLA","ROSACEAE","Dicliny","hermaphrodite","POTENTILLA ERECTA","POTENTILLA","ROSACEAE"
800190530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POTENTILLA ANGLICA",1,"Clonality: normal state","Far creeping stolons in illuminated medium","POTENTILLA ANGLICA","POTENTILLA","ROSACEAE","Dicliny","hermaphrodite","POTENTILLA ANGLICA","POTENTILLA","ROSACEAE"
800190540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POTENTILLA REPTANS",4,"Clonality: normal state","Far creeping stolons in illuminated medium","POTENTILLA REPTANS","POTENTILLA","ROSACEAE","Dicliny","gynodioecious","POTENTILLA REPTANS","POTENTILLA","ROSACEAE"
800190540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POTENTILLA REPTANS",4,"Clonality: normal state","Far creeping stolons in illuminated medium","POTENTILLA REPTANS","POTENTILLA","ROSACEAE","Dicliny","hermaphrodite","POTENTILLA REPTANS","POTENTILLA","ROSACEAE"
800190720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POTENTILLA STERILIS",2,"Clonality: normal state","Shortly creeping stolons in illuminated medium","POTENTILLA STERILIS","POTENTILLA","ROSACEAE","Dicliny","hermaphrodite","POTENTILLA STERILIS","POTENTILLA","ROSACEAE"
800200010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","SIBBALDIA PROCUMBENS","SIBBALDIA","ROSACEAE","Dicliny","hermaphrodite","SIBBALDIA PROCUMBENS","SIBBALDIA","ROSACEAE"
800210010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FRAGARIA VESCA",13,"Clonality: normal state","Far creeping stolons in illuminated medium","FRAGARIA VESCA","FRAGARIA","ROSACEAE","Dicliny","hermaphrodite","FRAGARIA VESCA","FRAGARIA","ROSACEAE"
800230040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ALCHEMILLA ALPINA","ALCHEMILLA","ROSACEAE","Dicliny","hermaphrodite","ALCHEMILLA ALPINA","ALCHEMILLA","ROSACEAE"
800230210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ALCHEMILLA GLAUCESCENS","ALCHEMILLA","ROSACEAE","Dicliny","hermaphrodite","ALCHEMILLA GLAUCESCENS","ALCHEMILLA","ROSACEAE"
800230410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ALCHEMILLA MONTICOLA","ALCHEMILLA","ROSACEAE","Dicliny","hermaphrodite","ALCHEMILLA MONTICOLA","ALCHEMILLA","ROSACEAE"
800230480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ALCHEMILLA SUBCRENATA","ALCHEMILLA","ROSACEAE","Dicliny","hermaphrodite","ALCHEMILLA SUBCRENATA","ALCHEMILLA","ROSACEAE"
800230510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ALCHEMILLA ACUTILOBA","ALCHEMILLA","ROSACEAE","Dicliny","hermaphrodite","ALCHEMILLA ACUTILOBA","ALCHEMILLA","ROSACEAE"
800230530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicliny","hermaphrodite","ALCHEMILLA GRACILIS","ALCHEMILLA","ROSACEAE"
800230540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALCHEMILLA XANTHOCHLORA",1,"Clonality: normal state","Little or no vegetative spread","ALCHEMILLA XANTHOCHLORA","ALCHEMILLA","ROSACEAE","Dicliny","hermaphrodite","ALCHEMILLA XANTHOCHLORA","ALCHEMILLA","ROSACEAE"
800230570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ALCHEMILLA FILICAULIS","ALCHEMILLA","ROSACEAE","Dicliny","hermaphrodite","ALCHEMILLA FILICAULIS","ALCHEMILLA","ROSACEAE"
800230580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ALCHEMILLA MINIMA","ALCHEMILLA","ROSACEAE","Dicliny","hermaphrodite","ALCHEMILLA MINIMA","ALCHEMILLA","ROSACEAE"
800230690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ALCHEMILLA GLOMERULANS","ALCHEMILLA","ROSACEAE","Dicliny","hermaphrodite","ALCHEMILLA GLOMERULANS","ALCHEMILLA","ROSACEAE"
800230770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ALCHEMILLA WICHURAE","ALCHEMILLA","ROSACEAE","Dicliny","hermaphrodite","ALCHEMILLA WICHURAE","ALCHEMILLA","ROSACEAE"
800230830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","ALCHEMILLA GLABRA","ALCHEMILLA","ROSACEAE","Dicliny","hermaphrodite","ALCHEMILLA GLABRA","ALCHEMILLA","ROSACEAE"
800240010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","APHANES ARVENSIS","APHANES","ROSACEAE","Dicliny","hermaphrodite","APHANES ARVENSIS","APHANES","ROSACEAE"
800240020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicliny","hermaphrodite","APHANES INEXSPECTATA","APHANES","ROSACEAE"
800260010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Clones formed by suckering from roots","PYRUS CORDATA","PYRUS","ROSACEAE","Dicliny","hermaphrodite","PYRUS CORDATA","PYRUS","ROSACEAE"
800270030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MALUS SYLVESTRIS",89,NA,NA,NA,NA,NA,"Dicliny","hermaphrodite","MALUS SYLVESTRIS","MALUS","ROSACEAE"
800270060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MALUS DOMESTICA",1,NA,NA,NA,NA,NA,"Dicliny","hermaphrodite","MALUS DOMESTICA","MALUS","ROSACEAE"
800280020,"Mature leaf P concentration (mg/g)","2-3","SORBUS AUCUPARIA","SORBUS","ROSACEAE","Mature leaf N concentration (mg/g)","10-20","SORBUS AUCUPARIA","SORBUS","ROSACEAE","SORBUS AUCUPARIA",50,"Clonality: normal state","Little or no vegetative spread","SORBUS AUCUPARIA","SORBUS","ROSACEAE","Dicliny","hermaphrodite","SORBUS AUCUPARIA","SORBUS","ROSACEAE"
800280030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SORBUS TORMINALIS",8,"Clonality: normal state","Clones formed by suckering from roots","SORBUS TORMINALIS","SORBUS","ROSACEAE",NA,NA,NA,NA,NA
800280050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SORBUS ARIA",20,"Clonality: normal state","Little or no vegetative spread","SORBUS ARIA","SORBUS","ROSACEAE",NA,NA,NA,NA,NA
800280056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","SORBUS LEPTOPHYLLA","SORBUS","ROSACEAE",NA,NA,NA,NA,NA
800280065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","SORBUS PORRIGENTIFORMIS","SORBUS","ROSACEAE",NA,NA,NA,NA,NA
800280066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","SORBUS EMINENS","SORBUS","ROSACEAE",NA,NA,NA,NA,NA
800280067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","SORBUS LANCASTRIENSIS","SORBUS","ROSACEAE",NA,NA,NA,NA,NA
800280068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","SORBUS WILMOTTIANA","SORBUS","ROSACEAE",NA,NA,NA,NA,NA
800280069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","SORBUS HIBERNICA","SORBUS","ROSACEAE",NA,NA,NA,NA,NA
800280070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","SORBUS RUPICOLA","SORBUS","ROSACEAE",NA,NA,NA,NA,NA
800280076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","SORBUS VEXANS","SORBUS","ROSACEAE",NA,NA,NA,NA,NA
800280090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","SORBUS MINIMA","SORBUS","ROSACEAE",NA,NA,NA,NA,NA
800280096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","SORBUS ARRANENSIS","SORBUS","ROSACEAE",NA,NA,NA,NA,NA
800280097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","SORBUS LEYANA","SORBUS","ROSACEAE",NA,NA,NA,NA,NA
800280109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","SORBUS ANGLICA","SORBUS","ROSACEAE",NA,NA,NA,NA,NA
800280136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","SORBUS PSEUDOFENNICA","SORBUS","ROSACEAE",NA,NA,NA,NA,NA
800280150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SORBUS INTERMEDIA",2,"Clonality: normal state","Little or no vegetative spread","SORBUS INTERMEDIA","SORBUS","ROSACEAE",NA,NA,NA,NA,NA
800280166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","SORBUS BRISTOLIENSIS","SORBUS","ROSACEAE",NA,NA,NA,NA,NA
800280167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","SORBUS DEVONIENSIS","SORBUS","ROSACEAE",NA,NA,NA,NA,NA
800280168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","SORBUS SUBCUNEATA","SORBUS","ROSACEAE",NA,NA,NA,NA,NA
800300038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicliny","hermaphrodite","AMELANCHIER LAMARCKII","AMELANCHIER","ROSACEAE"
800310010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COTONEASTER HORIZONTALIS",5,"Clonality: normal state","Little or no vegetative spread","COTONEASTER HORIZONTALIS","COTONEASTER","ROSACEAE","Dicliny","hermaphrodite","COTONEASTER HORIZONTALIS","COTONEASTER","ROSACEAE"
800310020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COTONEASTER SIMONSII",1,"Clonality: normal state","Little or no vegetative spread","COTONEASTER SIMONSII","COTONEASTER","ROSACEAE","Dicliny","hermaphrodite","COTONEASTER SIMONSII","COTONEASTER","ROSACEAE"
800310030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COTONEASTER INTEGERRIMUS",2,NA,NA,NA,NA,NA,"Dicliny","hermaphrodite","COTONEASTER INTEGERRIMUS","COTONEASTER","ROSACEAE"
800310110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","COTONEASTER INTEGRIFOLIUS","COTONEASTER","ROSACEAE","Dicliny","hermaphrodite","COTONEASTER INTEGRIFOLIUS","COTONEASTER","ROSACEAE"
800310129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","COTONEASTER BULLATUS","COTONEASTER","ROSACEAE",NA,NA,NA,NA,NA
800330010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clonality: normal state","Little or no vegetative spread","MESPILUS GERMANICA","MESPILUS","ROSACEAE",NA,NA,NA,NA,NA
800340050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CRATAEGUS LAEVIGATA",51,"Clonality: normal state","Little or no vegetative spread","CRATAEGUS LAEVIGATA","CRATAEGUS","ROSACEAE","Dicliny","hermaphrodite","CRATAEGUS LAEVIGATA","CRATAEGUS","ROSACEAE"
800340140,"Mature leaf P concentration (mg/g)","2-3","CRATAEGUS MONOGYNA","CRATAEGUS","ROSACEAE","Mature leaf N concentration (mg/g)","10-20","CRATAEGUS MONOGYNA","CRATAEGUS","ROSACEAE","CRATAEGUS MONOGYNA",79,"Clonality: normal state","Little or no vegetative spread","CRATAEGUS MONOGYNA","CRATAEGUS","ROSACEAE","Dicliny","hermaphrodite","CRATAEGUS MONOGYNA","CRATAEGUS","ROSACEAE"
800350080,"Mature leaf P concentration (mg/g)","2-3","PRUNUS SPINOSA","PRUNUS","ROSACEAE","Mature leaf N concentration (mg/g)","20-30","PRUNUS SPINOSA","PRUNUS","ROSACEAE","PRUNUS SPINOSA",82,"Clonality: normal state","Clones formed by suckering from roots","PRUNUS SPINOSA","PRUNUS","ROSACEAE","Dicliny","hermaphrodite","PRUNUS SPINOSA","PRUNUS","ROSACEAE"
800350100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRUNUS DOMESTICA",52,"Clonality: normal state","Clones formed by suckering from roots","PRUNUS DOMESTICA","PRUNUS","ROSACEAE","Dicliny","hermaphrodite","PRUNUS DOMESTICA","PRUNUS","ROSACEAE"
800350140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRUNUS AVIUM",18,"Clonality: normal state","Clones formed by suckering from roots","PRUNUS AVIUM","PRUNUS","ROSACEAE","Dicliny","hermaphrodite","PRUNUS AVIUM","PRUNUS","ROSACEAE"
